,C2-Rep1,C2-Rep2,C2-Rep3,C3-Rep1,C3-Rep2,C3-Rep3,C4-Rep1,C4-Rep2,C4-Rep3,C5-Rep1,C5-Rep2,C5-Rep3,C6-Rep1,C6-Rep2,C6-Rep3
Median,32728,33038,31583,71062,71071,64251,105698,107811,103902,176005,175701,170621,296051,299512,283307
Percent,0.496613190730838,0.552964690206529,0.54144385026738,0.196434937611408,0.175549633577615,0.184826203208556,0.19108734402852,0.170552964690207,0.171122994652406,0.0905525846702317,0.0796135909393737,0.0815508021390374,0.0253119429590018,0.0213191205862758,0.0210561497326203
