A,F,G,I,L,S,T,V,W,Y
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,3,0,1,1
1,0,0,2,12,0,5,0,0,1
1,0,0,2,12,0,4,0,0,2
1,0,0,2,12,0,4,0,1,1
1,0,0,2,12,0,3,1,1,1
1,0,0,2,12,0,3,0,0,3
2,0,0,3,12,0,2,1,0,1
2,0,0,2,12,0,3,1,0,1
2,0,0,3,12,0,1,1,1,1
2,0,0,2,12,0,2,1,1,1
1,0,0,2,12,0,4,0,0,2
0,1,1,2,12,0,4,0,0,1
0,0,1,2,12,0,5,0,0,1
0,0,1,2,12,0,4,1,0,1
0,0,1,2,12,0,4,0,1,1
0,0,1,2,12,0,3,1,1,1
0,0,1,2,12,0,4,0,0,2
0,0,1,2,12,0,4,0,0,2
0,1,0,2,12,0,4,1,0,1
1,0,0,2,12,0,4,1,0,1
0,1,0,2,12,0,4,1,0,1
0,0,0,2,12,0,5,1,0,1
0,0,0,2,12,0,4,1,1,1
0,0,0,2,12,0,3,2,1,1
0,0,2,2,13,0,4,0,0,0
0,1,2,2,13,0,2,0,0,1
0,0,2,2,13,0,3,0,0,1
0,0,2,2,13,0,2,1,0,1
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,1,0,0
0,2,2,2,12,0,3,0,0,0
0,1,2,2,12,0,4,0,0,0
0,2,2,2,12,0,2,0,1,0
0,2,2,2,12,0,2,0,0,1
0,1,2,2,12,0,4,0,0,0
0,1,2,2,12,0,3,0,0,1
0,1,2,2,12,0,4,0,0,0
0,0,2,2,12,0,5,0,0,0
0,0,2,2,12,0,4,0,0,1
0,0,2,2,12,0,4,1,0,0
0,0,2,2,12,0,3,2,0,0
0,1,2,2,12,0,3,0,1,0
0,1,2,2,12,0,2,1,1,0
0,0,2,2,12,0,4,0,1,0
0,0,2,2,12,0,3,1,1,0
0,0,2,2,12,0,2,1,1,1
0,0,2,3,12,0,3,0,0,1
0,0,2,3,12,0,2,1,0,1
0,1,2,2,12,0,3,0,0,1
0,0,2,2,12,0,4,0,0,1
0,0,2,2,12,0,3,0,0,2
0,0,2,2,12,0,3,1,0,1
0,1,2,2,12,0,2,0,1,1
0,1,2,2,12,0,1,1,1,1
0,0,2,2,12,0,3,0,1,1
0,0,2,2,12,0,4,1,0,0
0,0,2,2,12,0,4,0,1,0
0,0,2,2,12,0,3,1,1,0
1,0,1,2,12,0,3,0,0,2
0,1,2,2,12,0,3,0,0,1
0,0,2,2,12,0,4,0,0,1
0,0,2,2,12,0,3,0,0,2
0,0,2,2,12,0,3,1,0,1
0,0,2,2,12,0,2,2,0,1
0,0,2,2,12,0,3,0,1,1
0,0,2,2,12,0,2,1,1,1
0,0,2,2,12,0,1,1,1,2
0,1,2,2,12,0,2,0,0,2
0,0,2,2,12,0,3,0,0,2
0,0,2,2,12,0,2,0,0,3
2,0,0,2,12,0,5,0,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,4,1,0,0
2,0,0,2,12,0,3,1,0,1
1,0,1,2,12,1,4,0,0,0
1,0,1,2,12,1,3,0,0,1
1,0,0,2,12,1,3,1,0,1
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,3,1,0,1
1,0,0,2,12,1,4,1,0,0
1,0,0,2,12,1,3,1,0,1
1,0,1,2,12,0,4,1,0,0
2,0,0,2,12,0,3,1,0,1
1,0,0,2,12,1,2,1,0,2
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,1,0,1
0,0,2,2,12,1,3,0,0,1
0,0,1,2,12,1,5,0,0,0
0,0,1,2,12,1,4,0,0,1
0,0,1,2,12,1,3,1,0,1
0,0,2,2,12,0,5,0,0,0
1,1,0,2,12,0,5,0,0,0
1,1,0,2,12,0,4,0,0,1
1,1,0,2,12,0,4,1,0,0
1,1,0,2,12,0,4,1,0,0
0,1,0,2,12,1,5,0,0,0
0,1,0,2,12,1,4,0,0,1
0,1,0,2,12,1,4,1,0,0
0,1,0,2,12,1,3,1,0,1
1,0,1,2,12,0,4,0,0,1
1,0,0,3,12,0,5,0,0,0
1,0,0,2,12,0,6,0,0,0
1,0,0,2,12,0,5,0,0,1
1,0,0,2,12,0,5,1,0,0
1,0,0,2,12,0,5,1,0,0
1,0,0,2,12,0,4,1,0,1
0,0,1,2,12,0,6,0,0,0
0,0,1,2,12,1,5,0,0,0
0,0,1,2,12,1,4,0,0,1
0,0,1,2,12,1,4,1,0,0
0,0,0,2,12,1,6,0,0,0
0,0,0,2,12,1,5,0,0,1
0,0,0,2,12,1,5,1,0,0
0,0,0,2,12,1,5,1,0,0
0,0,1,2,13,0,5,0,0,0
0,0,1,2,12,0,6,0,0,0
0,0,1,2,12,0,5,0,0,1
0,0,1,2,12,0,5,1,0,0
0,0,1,2,12,0,5,0,0,1
0,0,1,2,12,0,4,1,0,1
1,1,0,2,12,0,4,1,0,0
1,0,0,2,12,0,5,1,0,0
1,0,0,2,12,0,4,1,0,1
1,1,0,2,12,0,3,2,0,0
1,0,0,2,12,0,4,2,0,0
0,0,1,2,12,1,4,1,0,0
0,0,0,2,12,1,5,1,0,0
0,0,0,2,12,1,4,1,0,1
0,0,0,2,12,1,4,2,0,0
0,0,0,2,12,1,4,2,0,0
0,0,1,2,12,0,5,1,0,0
0,0,1,2,12,0,4,1,0,1
0,0,1,2,12,0,3,2,0,1
1,0,0,2,12,0,5,0,0,1
1,0,0,2,12,0,4,1,0,1
1,0,0,2,12,0,4,0,0,2
1,0,0,2,12,0,4,1,0,1
0,0,0,2,12,1,5,0,0,1
0,0,0,2,12,1,4,0,0,2
0,0,0,2,12,1,4,1,0,1
0,0,0,2,12,1,3,1,0,2
3,0,0,2,12,0,4,0,0,0
2,0,1,2,12,0,4,0,0,0
2,0,1,2,12,0,3,1,0,0
2,0,0,2,12,0,5,0,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,3,0,0,2
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,0,1,0
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,0,0,2
0,0,2,2,12,0,4,0,0,1
2,0,0,3,12,0,4,0,0,0
2,0,0,3,12,0,3,0,0,1
1,0,1,3,12,0,4,0,0,0
1,0,1,3,12,0,3,0,0,1
1,0,1,3,12,0,3,0,1,0
1,0,1,3,12,0,2,1,1,0
0,0,2,4,12,0,3,0,0,0
0,0,2,4,12,0,2,0,0,1
1,0,1,3,12,0,4,0,0,0
1,0,1,3,12,0,3,0,0,1
1,0,1,3,12,0,3,0,0,1
1,0,1,3,12,0,2,0,0,2
0,0,2,3,12,0,4,0,0,0
0,0,2,3,12,0,3,0,0,1
0,0,2,3,12,0,3,0,1,0
0,0,2,3,12,0,2,0,1,1
0,0,2,3,12,0,2,1,1,0
0,0,2,3,12,0,2,0,1,1
0,0,2,3,12,0,3,1,0,0
0,0,2,3,12,0,2,1,1,0
1,0,1,2,13,1,3,0,0,0
1,0,1,2,13,1,2,0,0,1
1,0,1,3,13,0,3,0,0,0
1,0,1,2,13,0,4,0,0,0
1,0,1,2,13,0,3,0,0,1
1,0,1,2,13,0,3,0,0,1
1,0,1,2,13,0,2,0,0,2
0,0,2,2,13,0,4,0,0,0
0,0,2,2,13,0,3,0,0,1
0,0,2,2,13,0,3,0,0,1
0,0,2,2,13,0,3,0,1,0
0,0,2,2,13,0,2,0,1,1
0,0,1,2,13,1,3,0,0,1
0,0,2,2,13,0,3,1,0,0
0,0,2,2,13,0,2,1,0,1
0,0,2,2,12,0,4,0,0,1
0,0,2,2,12,0,3,0,1,1
2,0,0,2,12,0,4,1,0,0
2,0,0,2,12,0,3,1,0,1
2,0,0,2,12,0,3,1,0,1
2,0,0,2,12,0,2,1,0,2
1,0,1,2,12,0,3,2,0,0
0,0,2,3,12,0,3,1,0,0
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,3,1,0,1
1,0,1,2,12,0,2,1,0,2
0,0,2,2,12,0,4,1,0,0
0,0,2,2,12,0,3,2,0,0
0,0,2,2,12,0,2,2,1,0
1,0,1,2,12,0,3,0,1,1
1,0,1,2,12,0,2,0,1,2
3,1,0,2,12,0,3,0,0,0
2,1,0,2,12,1,3,0,0,0
3,1,0,2,12,0,2,1,0,0
2,1,0,2,12,1,2,1,0,0
2,1,1,2,12,0,3,0,0,0
1,1,1,2,12,1,3,0,0,0
1,1,1,2,12,1,2,1,0,0
2,1,0,2,12,0,4,0,0,0
1,1,0,2,12,1,3,1,0,0
3,0,0,2,12,0,3,0,1,0
2,0,0,2,12,1,3,0,1,0
3,0,0,2,12,0,2,1,1,0
2,0,0,2,12,1,2,1,1,0
3,0,0,2,12,0,3,0,0,1
2,0,1,2,12,0,3,0,0,1
1,0,1,2,12,1,3,0,0,1
3,1,0,2,12,0,2,1,0,0
3,1,0,2,12,0,1,2,0,0
1,1,1,2,12,1,2,1,0,0
3,0,0,2,12,0,2,0,0,2
0,2,1,2,12,1,3,0,0,0
1,1,2,2,12,0,2,1,0,0
1,1,2,2,12,0,1,1,0,1
1,1,1,2,12,0,4,0,0,0
1,1,1,2,12,0,3,1,0,0
1,1,1,2,12,0,3,0,0,1
0,1,2,2,12,0,3,1,0,0
0,1,1,2,12,1,4,0,0,0
0,1,1,2,12,1,3,1,0,0
1,2,1,2,12,0,2,0,1,0
1,1,1,2,12,0,3,0,1,0
1,1,1,2,12,0,2,0,1,1
0,2,1,2,12,1,2,0,1,0
0,1,1,2,12,1,3,0,1,0
0,1,1,2,12,1,2,0,1,1
1,1,1,2,12,0,3,1,0,0
0,1,1,2,12,1,3,1,0,0
0,1,1,2,12,1,2,2,0,0
1,1,2,2,12,0,1,1,0,1
1,1,1,2,12,1,1,1,0,1
1,1,2,2,12,0,2,0,0,1
2,1,1,2,12,0,3,0,0,0
1,1,1,2,12,1,3,0,0,0
2,1,1,2,12,0,2,1,0,0
1,1,1,2,12,1,2,1,0,0
1,1,2,2,12,0,3,0,0,0
0,1,2,2,12,1,3,0,0,0
1,1,1,2,12,0,4,0,0,0
1,1,1,2,12,0,3,0,0,1
0,1,1,2,12,1,4,0,0,0
1,0,1,2,13,0,4,0,0,0
1,0,1,2,12,1,3,0,1,0
1,0,1,2,12,1,2,1,1,0
1,0,1,2,12,1,2,0,1,1
1,0,1,2,12,1,2,1,1,0
1,0,1,2,12,1,1,2,1,0
1,0,2,2,12,0,3,0,1,0
2,0,1,2,12,0,3,0,0,1
1,0,2,2,12,0,3,0,0,1
1,0,1,2,12,1,3,0,0,1
1,0,1,2,12,1,2,1,0,1
1,0,2,2,12,0,3,0,0,1
0,0,3,2,12,0,3,0,0,1
0,0,2,2,12,1,3,0,0,1
1,1,1,2,12,1,2,1,0,0
1,1,2,2,12,0,2,1,0,0
0,1,2,2,12,1,2,1,0,0
0,1,1,2,12,1,3,1,0,0
2,0,1,2,12,0,2,1,1,0
1,0,1,2,12,1,2,1,1,0
1,0,1,2,12,1,1,2,1,0
1,0,1,2,12,1,1,1,1,1
1,0,1,2,12,1,0,3,1,0
1,0,2,2,12,0,2,1,1,0
0,0,2,2,12,1,2,1,1,0
0,0,2,2,12,1,2,0,1,1
2,1,1,2,12,0,2,0,0,1
1,0,1,2,13,0,3,0,0,1
2,0,1,2,12,0,3,0,0,1
1,0,2,2,12,0,2,1,0,1
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,0,0,2
0,0,1,2,12,1,4,0,0,1
1,0,1,2,12,0,3,0,1,1
1,0,1,2,12,0,2,0,1,2
0,1,1,2,12,1,2,0,1,1
0,0,1,2,12,1,3,0,1,1
0,0,1,2,12,1,2,0,1,2
2,0,1,2,12,0,2,0,0,2
1,0,1,2,12,1,2,0,0,2
1,0,2,2,12,0,2,0,0,2
0,0,2,2,12,1,2,0,0,2
2,0,0,2,13,1,2,0,0,1
2,0,0,2,13,0,4,0,0,0
2,0,0,2,13,0,3,0,0,1
2,0,0,2,13,0,3,1,0,0
1,1,1,2,13,0,3,0,0,0
1,0,1,2,13,1,2,0,0,1
1,0,1,2,13,0,4,0,0,0
1,0,1,2,13,0,3,0,0,1
1,0,1,2,13,0,3,1,0,0
2,0,0,2,12,1,4,0,0,0
2,0,0,2,12,1,3,0,0,1
2,0,0,2,12,1,3,0,0,1
2,0,0,2,12,0,5,0,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,4,1,0,0
2,0,0,2,12,0,3,2,0,0
1,0,1,3,12,1,3,0,0,0
1,0,1,3,12,0,4,0,0,0
1,0,1,3,12,0,3,0,1,0
1,1,1,2,12,0,4,0,0,0
1,0,1,2,12,1,3,0,0,1
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,4,0,1,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,3,2,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,1,0,1
2,1,0,2,12,0,3,0,0,1
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,3,0,0,2
2,0,0,2,12,0,3,1,0,1
2,0,0,2,12,0,2,2,0,1
1,0,1,3,12,0,2,0,1,1
1,1,1,2,13,0,2,0,0,1
1,1,1,2,12,0,3,0,0,1
1,1,1,2,12,0,2,1,0,1
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,0,0,2
1,0,1,2,12,0,3,1,0,1
1,0,1,2,12,0,2,2,0,1
1,0,1,2,12,0,3,0,1,1
1,0,1,2,12,0,2,1,1,1
1,0,1,2,12,0,1,2,1,1
1,0,2,2,12,0,2,1,0,1
0,0,2,2,12,0,3,1,0,1
1,0,1,2,12,0,3,1,0,1
0,0,1,2,12,0,5,1,0,0
1,0,1,2,12,0,3,1,0,1
0,0,1,2,12,0,5,0,0,1
0,0,1,2,12,0,4,1,0,1
2,1,0,2,12,0,4,0,0,0
2,0,0,2,12,0,5,0,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,4,1,0,0
1,0,0,2,12,1,5,0,0,0
1,0,0,2,12,1,4,0,0,1
1,0,0,2,12,1,4,1,0,0
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,0,0,1
0,0,1,2,12,1,5,0,0,0
1,0,1,2,12,0,4,0,0,1
2,0,0,3,12,0,4,0,0,0
2,0,0,3,12,0,3,1,0,0
2,0,0,3,12,0,3,0,0,1
2,0,0,3,12,0,3,1,0,0
2,0,0,3,12,0,2,2,0,0
1,0,1,3,12,0,4,0,0,0
1,0,1,3,12,0,3,0,0,1
1,0,0,3,12,1,4,0,0,0
1,0,0,3,12,1,3,0,0,1
1,0,0,3,12,1,3,1,0,0
1,0,1,3,12,0,3,1,0,0
1,0,0,3,12,1,3,1,0,0
1,0,0,3,12,1,2,1,0,1
0,1,1,3,12,1,3,0,0,0
1,1,0,3,12,0,4,0,0,0
1,1,0,3,12,0,3,1,0,0
1,1,0,3,12,0,2,2,0,0
0,1,1,3,12,0,4,0,0,0
0,1,0,3,12,1,4,0,0,0
0,1,0,3,12,1,3,1,0,0
0,1,0,3,12,1,3,0,0,1
0,1,0,3,12,1,3,1,0,0
2,0,0,2,12,0,5,0,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,3,2,0,0
1,0,0,2,12,1,5,0,0,0
1,0,0,2,12,1,4,0,0,1
1,0,0,2,12,0,5,0,0,1
0,0,0,2,12,1,5,0,0,1
1,1,0,2,12,0,4,0,0,1
1,1,0,2,12,0,3,1,0,1
0,1,0,2,12,1,4,0,0,1
0,1,0,2,12,1,3,1,0,1
0,1,0,2,12,1,3,1,0,1
1,0,0,2,12,0,5,0,0,1
1,0,0,2,12,0,4,1,0,1
2,1,0,2,12,1,2,0,0,1
2,1,0,2,12,0,4,0,0,0
2,1,0,2,12,0,3,0,0,1
2,1,0,2,12,0,3,1,0,0
1,1,0,2,12,2,2,0,0,1
1,1,0,2,12,1,3,0,0,1
1,1,0,3,12,1,2,0,0,1
1,0,0,3,12,1,3,0,0,1
2,0,0,2,12,1,3,0,0,1
2,0,0,2,12,0,5,0,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,4,1,0,0
2,0,0,2,12,0,4,1,0,0
2,0,0,2,12,0,4,0,0,1
2,0,0,2,12,0,3,0,0,2
1,1,1,2,12,0,4,0,0,0
1,1,1,2,12,0,3,0,0,1
1,1,1,2,12,0,2,1,0,1
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,3,1,0,1
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,0,0,2
1,1,0,2,12,1,3,0,0,1
1,0,0,2,12,1,4,0,0,1
1,0,1,2,12,0,4,0,0,1
1,2,0,2,12,0,4,0,0,0
1,1,0,2,12,0,5,0,0,0
1,1,0,2,12,0,4,0,0,1
1,1,0,2,12,0,4,1,0,0
1,1,0,2,12,0,3,2,0,0
1,1,0,2,12,0,4,1,0,0
0,2,0,2,12,1,4,0,0,0
0,1,0,2,12,1,5,0,0,0
0,1,0,2,12,1,4,0,0,1
1,1,0,3,12,0,3,0,0,1
1,0,0,3,12,0,5,0,0,0
1,0,0,3,12,0,4,0,0,1
0,1,0,3,12,1,3,0,0,1
0,0,0,3,12,1,4,0,0,1
1,1,0,2,12,0,3,1,0,1
1,1,0,2,12,0,4,1,0,0
1,0,0,2,12,0,5,1,0,0
1,0,0,2,12,0,4,2,0,0
1,0,0,2,12,0,4,1,0,1
1,0,0,2,12,0,4,2,0,0
0,0,1,2,12,0,5,1,0,0
0,0,1,2,12,0,4,2,0,0
0,0,1,2,12,0,4,1,0,1
0,0,1,2,12,0,3,3,0,0
0,0,1,2,12,0,4,1,0,1
0,0,1,2,12,0,3,2,0,1
0,0,1,2,12,0,3,1,0,2
0,0,1,2,12,0,2,3,0,1
0,0,1,2,12,0,2,2,0,2
0,1,0,2,12,1,3,1,0,1
0,1,0,2,12,1,4,1,0,0
0,0,0,2,12,1,5,1,0,0
0,0,0,2,12,1,4,2,0,0
0,0,0,2,12,1,4,1,0,1
0,0,0,2,12,1,3,2,0,1
1,1,0,2,12,0,4,0,0,1
1,0,0,2,12,0,5,0,0,1
1,0,0,2,12,0,4,1,0,1
1,0,0,2,12,0,4,0,0,2
1,0,0,2,12,0,3,2,0,1
1,0,0,2,12,0,4,1,0,1
0,0,1,2,12,0,5,0,0,1
0,0,1,2,12,0,4,0,0,2
0,0,0,2,12,1,4,0,0,2
1,1,0,2,13,1,2,1,0,0
1,0,0,2,13,1,2,1,0,1
1,1,1,2,13,0,3,0,0,0
1,1,1,2,13,0,2,1,0,0
1,1,0,2,13,0,4,0,0,0
1,1,0,2,13,0,3,1,0,0
1,1,0,2,13,0,2,2,0,0
1,0,1,2,13,0,4,0,0,0
1,0,1,2,13,0,3,1,0,0
1,0,1,2,13,0,3,1,0,0
1,0,1,2,13,0,2,2,0,0
1,0,1,2,13,0,3,0,0,1
1,0,1,2,13,0,2,1,0,1
1,1,0,2,12,1,4,0,0,0
1,1,0,2,12,1,3,1,0,0
1,0,0,2,12,1,3,1,0,1
1,1,1,2,12,0,4,0,0,0
1,1,0,2,12,0,5,0,0,0
1,0,1,2,12,0,5,0,0,0
1,0,1,2,12,0,4,1,0,0
1,0,1,2,12,0,4,0,0,1
1,0,0,2,12,0,4,1,0,1
1,0,0,2,12,0,3,2,0,1
0,1,1,2,13,1,2,1,0,0
0,1,1,2,13,0,4,0,0,0
0,1,1,2,13,0,3,1,0,0
0,0,2,2,13,0,3,1,0,0
0,0,2,2,13,0,2,2,0,0
0,0,2,2,13,0,2,1,0,1
0,2,2,2,12,0,3,0,0,0
0,1,2,2,12,0,4,0,0,0
0,2,2,2,12,0,3,0,0,0
0,2,1,2,12,0,4,0,0,0
0,1,1,2,12,0,5,0,0,0
0,1,3,2,12,0,3,0,0,0
0,1,2,2,12,0,4,0,0,0
0,1,2,2,12,0,3,0,0,1
0,0,2,2,12,0,3,0,1,1
0,0,3,2,12,0,3,0,0,1
0,0,2,2,12,1,3,0,0,1
0,0,2,2,12,0,3,0,0,2
0,1,2,2,12,0,3,0,0,1
0,0,2,2,12,0,4,0,0,1
0,0,2,2,12,0,3,1,0,1
1,2,1,2,12,0,3,0,0,0
1,1,1,2,12,0,4,0,0,0
1,1,0,2,12,0,5,0,0,0
1,1,1,2,12,0,3,0,0,1
1,0,1,2,12,0,4,0,0,1
1,0,1,2,12,0,3,1,0,1
1,0,1,2,12,0,3,1,0,1
0,1,1,2,12,0,5,0,0,0
0,1,1,2,12,0,4,0,0,1
0,1,1,2,12,1,3,1,0,0
0,1,1,2,12,1,2,2,0,0
0,2,1,2,12,1,3,0,0,0
0,2,0,2,12,1,4,0,0,0
0,1,0,2,12,1,5,0,0,0
0,1,1,2,12,1,3,0,0,1
0,1,1,2,12,1,3,0,0,1
0,0,1,2,12,1,4,0,0,1
0,0,1,2,12,1,3,1,0,1
0,0,1,2,12,1,2,2,0,1
