Distance,Angle,axialRotation,zShift
9.93244,-47.3046,87.7808,3.71335
6.8069,-7.07953,52.5587,3.26032
9.91638,-36.7629,16.5369,0.638969
6.7533,-36.9631,54.5954,3.7284
9.75386,14.1006,31.4093,1.36946
9.03011,-65.4387,40.3576,2.27986
7.45768,-69.4547,82.3044,0.286618
9.13421,50.0952,31.8349,1.68905
10.9045,-42.3851,62.6228,2.71901
8.63484,-42.7217,44.0126,5.64162
7.69438,-53.6373,44.4798,4.52534
9.35108,-62.9626,26.211,4.01117
8.46604,22.0334,78.9654,3.07735
8.56323,46.1385,75.6333,1.17313
12.0005,-44.4621,14.1102,0.392081
7.91948,-45.8936,50.1301,4.14733
9.16533,12.078,43.2185,3.35353
7.68652,-45.1432,48.2847,3.86896
7.9845,-58.8138,93.5804,0.651223
6.16571,-25.6715,26.9079,4.56367
8.63319,-79.2896,29.8186,3.29459
10.3426,53.1121,30.4022,5.44092
6.16306,-56.4436,96.1372,3.78091
10.1196,43.1935,33.1352,1.80593
10.7649,5.04515,19.1892,4.30012
8.63708,-38.1295,48.884,1.58211
7.76961,-61.0737,52.7965,2.76277
9.3173,-45.5301,56.8666,5.00295
10.2916,17.0866,84.1844,3.57761
8.09034,-50.4298,26.9899,1.70245
7.53141,-26.0847,100.974,0.620865
7.18847,-58.4344,61.8084,2.63616
9.92519,-58.5726,71.9957,2.89
9.87674,-39.2838,43.4149,0.619856
8.22479,-26.1074,62.5873,4.28063
10.1337,-20.5224,70.508,5.34734
8.27806,-39.3319,15.9959,4.2361
9.88785,-71.8121,64.3014,2.88979
10.0949,31.4095,14.8799,2.29647
9.81524,29.1539,49.1923,3.70044
8.98028,25.7792,74.3704,3.91421
8.82675,51.2696,55.122,5.34719
7.55942,-55.2633,29.4788,0.129581
7.17176,-56.4225,16.9742,2.24868
9.66688,-49.5944,40.5874,3.60759
10.0656,-13.7037,22.6353,2.82464
6.2286,-47.8806,15.8033,3.69477
8.26279,10.5285,36.8796,3.49123
6.76052,-46.0879,44.9048,2.48162
8.39569,-39.5703,88.4439,0.650375
8.96665,54.6774,74.7746,2.91185
8.29226,-56.0249,46.6676,1.87835
6.59989,-34.1895,32.9053,3.08688
7.00103,-56.7604,40.105,3.81937
7.98441,-70.5491,70.9745,4.45466
9.81479,47.8558,30.3381,1.52136
7.77964,-54.5871,48.3475,2.31014
8.82899,-37.6715,62.1402,4.56426
6.48416,-27.3736,28.6209,2.12926
9.8582,39.194,83.6739,3.03464
6.83724,-39.1596,43.2407,2.57319
10.5049,-44.1228,35.6309,2.05984
7.52789,-27.8751,33.4983,3.92983
7.99866,36.2538,27.1013,5.36596
10.6692,-12.5197,71.9453,2.624
10.0847,33.4507,79.2705,0.499693
9.87774,21.9508,40.4626,1.50793
6.99788,18.2967,41.1997,1.02049
10.694,-7.67782,74.3662,5.21813
11.4863,64.9522,45.8992,4.14801
11.1925,32.5802,12.4439,4.39647
8.02308,7.60655,20.4699,2.9996
8.59012,-55.7414,34.5546,2.73295
7.26421,-36.7793,77.1831,3.67863
8.89121,54.0369,80.3276,2.43333
10.3159,51.9566,80.5011,2.7094
7.70934,-22.2335,82.473,1.08638
8.34267,-67.0594,24.1626,2.71915
6.16935,-47.9386,52.5492,3.7811
9.12694,-0.676672,24.0206,0.617752
8.8389,-31.0006,55.0125,3.22021
10.6946,34.7866,41.7523,3.20436
9.68391,-34.5995,84.348,1.01628
10.0228,17.0779,32.8979,2.5644
8.88416,43.6949,35.4063,4.64569
8.84914,-54.7151,32.8989,3.60797
7.0244,-64.9766,34.9601,4.60029
8.80405,-50.368,45.3288,3.30737
9.39596,-73.5305,1.32266,1.96065
10.8837,-52.3231,3.29847,3.20515
7.26447,-49.3719,43.2628,3.87978
9.53015,24.2851,39.0656,1.62668
9.5191,-32.594,43.9594,3.68978
7.27978,-28.2381,53.8297,1.56354
9.43511,-61.5447,80.7661,1.69534
11.2336,37.7934,30.4352,4.40079
10.5373,-46.8296,80.4313,2.44388
9.39942,-46.833,60.8757,2.01953
9.75562,-35.965,62.7867,1.17048
9.87457,-45.7803,24.5457,4.82477
9.80313,11.0585,70.9139,4.9839
8.80522,-41.1511,92.5493,1.85067
7.05333,-97.0345,43.9518,5.77596
9.24994,16.6284,8.96803,3.26023
8.20416,-65.6151,25.8197,5.49644
8.59807,-39.1637,46.9273,1.38304
9.19702,-47.6946,54.3578,5.33674
8.14916,-54.2452,63.903,2.91158
11.2378,-36.9946,77.9785,2.71607
8.7707,-63.5557,54.1947,5.51372
8.69464,19.3295,24.3011,4.82019
10.2322,44.5123,69.692,0.829538
8.44226,44.4181,31.1834,4.3432
10.9476,-44.5758,14.8916,1.65242
11.0821,13.918,26.1898,4.49061
9.13201,-61.5417,78.2035,2.73897
8.04286,-83.2525,13.5019,3.98237
9.39282,34.1683,41.4431,2.12943
10.4369,-22.0299,19.1755,3.6805
7.5097,-51.8574,26.0773,3.95743
7.39669,-54.0081,34.465,2.2021
9.36384,-37.609,36.3237,1.60858
7.45482,-87.1871,39.8931,4.31956
6.79743,-26.9847,28.8153,3.97512
9.52483,-1.72951,8.1049,0.563716
7.22669,-37.6147,44.0131,3.17351
10.794,12.236,52.0627,0.784205
9.20328,42.7278,40.5947,3.86919
7.55727,-10.6399,19.039,0.632664
6.87463,-56.0285,34.8063,3.80203
9.78467,46.1419,51.8511,2.66659
9.96305,-76.0143,44.5142,0.615796
7.28177,-35.7569,29.5575,3.00715
7.19172,-13.429,4.82398,4.40383
10.6468,42.1155,19.7757,1.22936
7.62182,-59.8962,52.0073,1.11727
9.63525,-44.4515,55.9794,2.04312
9.71448,-32.481,54.2723,3.43466
10.9982,-30.7877,16.6574,1.69471
9.11193,-62.1159,23.2392,0.799115
9.4271,34.1565,41.4372,5.48957
7.23685,-68.9781,89.8699,3.40416
8.91235,-22.9903,94.4356,4.91214
9.02061,34.6741,34.0037,2.41603
10.0022,-73.5365,15.7959,4.21575
11.6789,-49.1421,82.4723,1.98188
7.1584,-49.8846,10.4259,3.40854
10.6475,46.1356,21.7857,1.43385
9.10746,40.4833,54.857,1.92893
8.45215,-66.1259,45.1422,1.20142
9.99044,18.3546,28.4081,2.62934
9.41718,-63.1109,19.6635,1.73968
9.13584,33.6345,48.8685,2.36315
10.2664,28.0073,20.6198,2.35871
10.8635,-29.5475,71.1237,3.58389
8.06361,-3.56297,73.7453,4.11148
7.9023,-37.508,27.7096,3.08002
9.96195,-20.6236,37.1241,4.29871
7.81204,-36.7811,44.43,2.43331
8.16308,-25.0263,83.6407,2.24866
7.8282,37.9474,93.7258,0.926889
8.93557,-87.1811,91.0248,5.08688
6.66693,-47.5058,62.1445,2.93123
6.42374,-62.171,90.1585,3.95526
7.21283,-24.2942,22.4683,2.80764
8.50086,-28.6148,63.8977,1.54438
10.7597,16.1523,33.7908,5.52481
8.89999,11.5461,37.8243,3.32647
9.46675,-22.9826,90.692,2.96605
8.97676,13.6727,38.8876,4.12393
6.92848,-27.0569,26.2151,3.18884
6.68852,-23.0578,84.6249,4.99894
10.0524,-73.5308,67.0808,3.95517
9.33505,-65.1104,25.1371,2.8183
10.2904,-61.1187,29.6971,0.673527
7.10205,-40.6381,81.6081,4.65056
9.97405,-39.7448,35.2558,0.978199
7.78207,-36.2082,81.7414,1.01195
10.8531,-37.3274,13.2874,4.5182
7.92533,-68.3873,23.4987,0.825517
7.46175,-18.8907,14.9136,3.34339
7.90429,-29.6878,78.7459,2.01153
8.44414,-55.3277,55.6695,3.05507
9.1293,-37.6295,54.2622,1.86841
10.113,-60.2082,23.5835,2.13849
8.97528,28.3916,32.9004,0.999427
9.27095,37.2023,50.8404,0.998541
9.35918,24.3485,51.9179,3.45599
7.37777,46.3872,50.1167,0.477025
9.81097,-20.4273,27.2365,2.77102
10.8391,23.4918,46.3613,0.803715
9.29065,48.7426,87.1918,4.43604
7.28788,63.1661,63.6343,0.213232
9.88839,-36.1316,58.2134,0.966059
7.80645,-35.924,44.8585,1.95517
7.9536,-60.1763,48.5596,3.63606
8.1434,-42.2725,80.5494,3.49938
9.38755,-27.5704,72.1122,4.72794
8.6092,17.605,63.9307,3.63469
6.68957,-35.9432,57.6694,2.99767
10.5545,-23.7612,32.9912,0.486932
7.50588,-56.9022,21.7916,3.5214
8.8183,-56.4221,52.5582,3.26027
8.86356,-47.9871,46.5193,3.42848
10.3032,26.834,35.2119,1.2346
9.49234,4.32738,80.3688,4.26361
8.20648,-63.5051,49.0167,2.89996
8.33405,11.9523,79.0531,1.52105
9.47411,21.4545,60.7273,3.56964
9.73076,-15.4119,21.7812,3.78122
9.4888,-73.6678,38.8071,4.20907
7.61061,-60.5372,69.597,1.73808
6.58035,-25.0935,37.4533,3.28872
7.98892,-53.9889,35.8261,3.12318
9.80203,58.0883,27.7621,3.08536
11.2487,-44.4173,48.2807,5.17291
8.26208,21.3159,96.1703,2.47994
10.2393,6.81225,84.1754,3.34654
5.88254,-17.6889,28.335,0.274086
8.48453,-63.4715,59.2899,3.94514
8.61253,-44.5539,85.3512,4.50964
9.44935,-87.0253,79.0569,0.477968
10.1085,-50.476,42.7107,2.78013
9.64829,22.4754,50.9813,1.53462
7.68368,-81.96,11.5841,0.135077
7.45274,-42.482,86.7379,1.76287
10.5367,-20.7054,83.2371,0.642378
8.9297,-71.1223,47.7722,0.947258
9.20688,49.8545,74.1863,1.54765
7.69477,-51.8903,59.9523,2.96906
6.13175,-31.7621,95.6574,2.42775
8.48141,-20.5193,39.7404,3.26054
9.28723,-45.2674,66.1876,2.03822
5.91253,-41.1803,43.3074,3.62345
7.4474,-82.6258,24.0717,1.9273
10.2283,-53.0026,69.6526,1.34726
8.58473,-32.4302,36.349,2.1329
10.6515,19.7272,78.5963,5.38762
7.13747,-56.4108,21.7946,1.9565
10.7623,-50.4978,27.3152,3.8225
8.65649,-32.7359,43.8885,1.33474
7.32469,-32.0517,62.1793,3.4565
9.19131,-41.9772,70.037,2.16899
7.36513,-45.9645,44.9665,1.96615
7.41507,-64.463,84.4352,4.56971
10.7874,54.6715,36.3101,4.47677
11.5401,46.7176,79.0449,3.08544
6.28933,-34.2045,91.8721,0.738291
10.1753,28.4697,66.7989,1.31781
8.2326,-53.7895,43.6181,3.65506
10.7999,54.415,42.2576,6.07019
8.54024,-9.7004,50.278,0.941327
10.4777,-40.1536,78.6411,3.30523
7.84643,-21.371,77.776,2.17373
11.1907,-10.5656,16.5121,1.41906
10.0914,-13.9611,22.5066,3.31156
7.492,-68.9477,77.0646,1.84048
9.9772,-45.3916,76.0221,2.25617
